chr	start	end	body_CpG_count	up_CpG_count	down_CpG_count	body_meth	up_meth	down_meth
chr4	7633784	7634124	11	33	42	34.3	41.9	54.6
chr4	7994067	7995165	9	37	45	75.0	57.8	63.9
chr4	9950666	9950915	16	10	15	89.8	50.0	74.8
chr4	9955197	9955514	23	22	30	94.8	79.6	73.9
chr4	10145472	10145586	10	22	31	47.9	56.1	77.7
chr4	15791141	15791543	35	77	48	98.7	98.9	97.3
chr4	19077827	19083926	84	12	14	67.3	48.7	42.8
chr4	19641489	19641829	23	12	6	94.8	53.2	59.1
chr4	21159363	21165473	94	10	12	65.8	31.3	46.5
chr4	25239427	25239567	10	38	22	98.7	99.6	73.7
chr4	26954329	26955828	7	9	12	90.0	62.5	97.2
chr4	28562664	28562987	23	8	7	87.9	57.3	65.7
chr4	32195658	32195822	5	26	39	95.2	76.0	69.7
chr4	32538978	32539292	24	7	9	87.8	39.0	50.7
chr4	35238647	35242811	13	5	10	40.9	34.7	38.4
chr4	36468282	36468614	25	11	6	95.5	58.9	59.9
chr4	36778992	36779314	24	10	7	91.4	63.3	60.3
chr4	38807497	38807572	5	54	50	99.6	87.2	96.5
chr4	38807771	38807951	12	69	27	97.9	96.5	95.7
chr4	40008979	40009294	9	21	44	86.6	76.0	90.9
chr4	42021918	42022101	13	7	23	99.7	99.7	99.8
chr4	47485808	47485859	5	51	34	0.7	8.8	65.0
chr4	49323604	49330063	120	38	46	61.0	71.4	71.3
chr4	49944113	49944793	9	23	26	58.9	47.4	64.0
chr4	49955928	49956608	7	28	32	76.9	54.9	60.1
chr4	49959387	49960066	8	26	27	63.8	51.9	62.2
chr4	50195267	50195947	6	22	26	69.4	44.7	58.8
chr4	50203334	50204014	8	24	30	68.7	52.9	55.9
chr4	51804423	51805100	11	30	30	64.6	71.8	78.9
chr4	51806632	51807309	11	32	32	66.9	73.9	78.0
chr4	51810041	51811573	26	35	22	77.2	75.8	85.6
chr4	54616252	54616572	24	13	8	89.2	60.2	53.5
chr4	54942508	54942751	16	18	10	3.1	12.9	53.7
chr4	58741424	58741743	23	7	31	86.4	70.4	73.8
chr4	59078841	59084882	83	9	12	65.5	44.4	60.5
chr4	60464388	60467465	8	6	9	61.7	37.3	40.0
chr4	61133657	61134989	5	16	11	36.3	55.7	65.0
chr4	63268573	63288836	81	9	3	52.3	50.4	38.2
chr4	63828595	63848693	103	7	10	56.0	20.4	48.3
chr4	66256370	66257772	9	15	12	62.4	58.4	73.9
chr4	68197896	68200783	18	16	7	74.8	54.3	65.6
chr4	69094123	69094446	24	12	13	96.2	81.9	75.1
chr4	69601766	69607083	43	9	119	49.9	46.0	94.3
chr4	76916921	76917046	9	64	7	95.8	89.6	62.7
chr4	79284574	79284901	23	7	7	88.7	39.1	25.1
chr4	82008147	82010237	19	15	4	68.7	61.5	49.5
chr4	82258625	82258936	24	14	22	94.4	53.4	95.5
chr4	82474355	82474675	24	32	11	99.2	97.4	59.0
chr4	86145200	86145381	14	3	13	90.8	42.7	66.5
chr4	86725238	86730789	43	13	12	54.5	75.0	63.0
chr4	87347091	87353145	93	17	24	98.2	98.5	98.7
chr4	87370720	87371050	24	18	8	99.5	96.0	64.5
chr4	87562731	87565159	20	7	40	68.7	53.8	87.2
chr4	87615920	87616054	6	22	6	91.7	89.1	21.1
chr4	91012906	91014112	16	5	8	81.9	43.6	55.4
chr4	93638288	93644338	92	11	11	75.0	47.5	74.5
chr4	94949297	94949614	23	17	9	86.8	77.1	46.9
chr4	96976043	96976378	22	29	12	93.9	83.7	38.8
chr4	97189493	97189818	22	25	3	93.1	69.1	19.4
chr4	97212224	97212537	24	8	5	90.8	56.4	69.2
chr4	97260110	97260430	24	14	23	84.5	44.8	67.4
chr4	97433139	97438061	36	4	21	61.9	24.2	91.5
chr4	101749306	101749747	16	6	24	94.2	77.2	93.3
chr4	101749335	101749568	8	7	10	93.8	79.7	76.1
chr4	101866629	101867193	5	12	5	83.5	59.4	81.0
chr4	102408256	102410889	5	5	11	89.6	86.6	50.4
chr4	102951944	102954449	22	6	18	76.1	79.6	98.5
chr4	106135421	106142203	17	9	33	98.2	90.9	86.8
chr4	106498332	106498641	23	8	8	94.9	58.0	37.7
chr4	107142038	107154887	99	2	5	63.4	5.2	33.0
chr4	107355539	107358346	20	25	15	63.5	78.1	66.6
chr4	108186518	108186818	26	14	19	95.5	74.6	60.8
chr4	108799896	108801058	21	14	22	74.9	76.9	98.4
chr4	109577584	109577908	22	15	23	99.4	95.7	67.7
chr4	110462044	110462375	24	17	33	93.9	70.3	96.8
chr4	112548818	112549124	24	15	22	99.9	96.2	62.8
chr4	114586663	114589883	20	3	19	62.8	68.5	80.8
chr4	114589947	114592707	29	16	11	60.7	60.5	60.2
chr4	116330322	116330638	25	8	5	90.2	38.0	29.7
chr4	116499473	116499751	21	3	10	88.5	31.5	57.2
chr4	119342528	119343498	18	16	52	80.7	54.6	93.1
chr4	122812079	122812232	9	77	16	91.1	95.7	74.9
chr4	124022397	124024030	13	16	14	85.1	83.9	72.1
chr4	124750583	124750901	23	15	32	86.7	60.1	77.3
chr4	126100946	126101033	7	17	10	90.2	77.9	83.4
chr4	129146027	129146918	9	30	9	87.5	79.6	58.0
chr4	130773670	130773918	18	16	147	84.8	80.4	92.8
chr4	131724282	131726787	167	74	3	78.9	88.7	22.0
chr4	132192884	132193202	23	16	8	92.4	40.9	45.1
chr4	132698721	132699026	26	13	17	90.7	56.4	60.1
chr4	138045054	138046059	6	4	25	50.2	42.4	76.8
chr4	144395293	144398752	12	13	16	66.2	55.7	65.1
chr4	146809025	146809937	7	8	6	57.1	72.7	57.9
chr4	151419553	151420399	8	4	22	79.8	90.3	71.7
chr4	152069159	152072793	38	10	23	90.3	63.8	62.9
chr4	156759646	156759831	7	19	4	77.9	70.2	36.9
chr4	158356144	158356885	11	4	6	68.8	55.5	77.7
chr4	158359462	158360155	21	6	67	87.6	47.2	88.7
chr4	159523757	159524203	32	78	11	94.0	93.0	58.2
chr4	161342553	161342655	11	19	6	94.5	49.7	61.2
chr4	163580788	163581100	24	10	13	97.0	92.0	77.3
chr4	163737146	163737979	9	6	80	85.9	88.2	88.5
chr4	165019883	165020006	9	36	30	98.3	86.1	99.5
chr4	165081465	165083902	50	18	12	97.4	76.5	72.5
chr4	169887286	169887565	19	16	9	90.4	55.4	42.6
chr4	171453260	171458273	37	41	13	82.7	89.1	63.2
chr4	173611908	173614759	16	9	17	59.6	44.2	52.4
chr4	176948164	176948479	24	6	91	91.8	45.1	92.8
chr4	183736169	183736733	48	89	49	95.3	93.9	84.7
chr4	183753115	183754574	42	21	25	74.9	78.2	72.6
chr4	183833685	183833997	22	29	73	95.1	62.7	96.1
chr4	184966888	184966958	5	117	17	100.0	98.6	95.1
chr4	185234386	185234696	23	25	15	99.9	88.9	94.0
chr4	185277711	185278029	24	18	38	99.8	88.8	73.5
chr4	186057165	186057430	12	49	16	98.4	97.4	79.7
chr4	186172332	186173394	12	37	13	76.2	82.5	64.0
chr4	186173625	186174447	8	29	11	71.2	83.6	87.5
chr4	186176006	186177033	8	11	30	36.3	84.7	81.5
chr4	186432310	186436009	157	41	14	87.6	79.8	54.3
chr4	186476531	186476975	5	38	23	62.9	67.7	54.0
chr4	186477522	186478165	6	27	16	57.3	66.3	40.2
chr4	186693362	186693689	12	43	53	34.5	73.5	79.0
chr4	186929557	186929690	11	24	112	79.7	62.9	94.5
chr4	186959886	186962754	173	43	114	94.6	78.4	95.7
chr4	186969876	186970048	8	113	31	93.8	95.9	91.0
chr4	186971626	186973032	78	118	37	94.8	95.6	91.8
chr4	186972833	186972948	6	115	24	90.0	95.2	43.0
chr4	187304514	187304784	8	22	62	62.9	53.6	71.7
chr4	188269003	188269252	5	46	68	25.0	83.5	71.7
chr4	188973591	188973796	9	32	57	73.8	63.2	70.0
chr4	188973944	188974102	6	41	46	77.4	68.9	67.4
chr4	188974264	188974467	8	51	37	78.9	68.7	59.7
chr4	188974475	188974883	13	57	33	74.3	71.2	61.7
chr4	189011329	189011543	7	39	24	49.9	67.9	56.4
chr4	189051518	189052246	26	41	23	87.6	71.1	62.5
chr4	189136844	189143117	93	15	21	72.8	44.2	56.8
chr4	189270446	189279307	65	16	133	41.7	43.7	95.1
chr4	189307386	189307679	17	15	50	95.0	44.9	93.4
chr4	189308895	189309020	8	106	16	99.3	93.0	83.6
chr4	189309210	189309545	21	122	37	95.7	94.6	62.2
chr4	189370264	189370582	25	17	282	90.8	56.3	90.9
chr4	190120251	190120554	9	17	84	57.4	49.4	92.4
chr4	190121701	190121787	20	194	168	93.2	87.9	91.2
chr5	12295	12454	14	17	129	91.5	79.2	23.4
chr5	53218	53435	18	100	121	10.3	57.4	94.8
chr5	164869	164956	6	68	83	76.8	85.6	91.0
chr5	165578	165689	7	93	60	97.9	92.4	84.1
chr5	165998	166165	11	113	35	97.9	93.8	69.9
chr5	175992	176278	9	55	103	48.5	64.3	97.2
chr5	211375	211554	8	62	58	96.3	93.8	90.6
chr5	212302	213288	44	100	127	96.0	96.9	97.7
chr5	257494	257710	8	24	74	99.7	98.2	95.5
chr5	307233	307325	10	68	186	97.3	98.5	99.6
chr5	356972	357157	16	78	94	99.6	95.3	96.9
chr5	358286	358595	28	171	43	99.5	99.3	93.4
chr5	468070	468249	5	64	56	99.0	97.7	74.3
chr5	557728	557863	7	78	194	94.8	84.3	69.9
chr5	561896	563312	106	61	191	92.2	75.4	70.0
chr5	562643	563289	31	120	193	84.5	87.5	63.4
chr5	563454	563539	10	152	101	95.9	85.8	45.0
chr5	565031	565203	21	171	121	67.0	72.7	82.5
chr5	667822	668110	24	68	52	96.6	95.3	81.7
chr5	976079	976214	11	40	62	96.9	84.5	74.5
chr5	1178178	1180616	94	86	60	75.9	83.2	56.8
chr5	1483742	1483841	6	59	23	100.0	88.9	72.7
chr5	1663627	1664158	22	66	77	91.9	71.8	84.3
chr5	1768959	1769205	15	51	51	92.7	76.1	53.8
chr5	1924476	1925087	17	61	69	61.3	76.7	59.7
chr5	1950898	1951340	48	83	29	96.9	78.2	69.9
chr5	2564475	2564581	10	35	6	98.6	66.4	69.3
chr5	3499147	3499467	24	23	32	92.1	58.1	67.1
chr5	3502199	3502526	24	8	26	88.9	75.5	55.7
chr5	3637924	3638913	13	36	21	64.7	77.3	55.5
chr5	3638056	3639243	18	40	25	58.9	76.0	76.8
chr5	5610679	5610823	6	27	33	91.7	72.0	72.0
chr5	6524262	6524580	18	44	8	91.2	71.1	48.2
chr5	7221819	7222137	22	9	60	88.4	47.7	88.4
chr5	7300655	7300927	12	42	24	99.2	83.3	70.9
chr5	8026904	8027208	25	13	10	88.8	67.2	46.2
chr5	8256175	8257665	5	9	14	24.6	24.5	47.1
chr5	8258103	8259051	7	8	19	43.5	35.1	55.9
chr5	8259677	8260587	6	10	7	41.9	46.2	61.8
chr5	8937735	8938707	15	4	12	85.3	33.9	49.3
chr5	9400498	9400767	20	13	41	84.2	72.5	75.1
chr5	10273117	10274960	18	28	163	62.9	76.4	98.2
chr5	10638964	10639056	13	58	39	93.3	94.8	96.6
chr5	10638999	10640114	151	66	12	97.9	94.6	59.7
chr5	12425862	12426311	8	10	20	87.6	62.3	57.4
chr5	13330072	13330361	10	6	10	92.9	61.0	41.5
chr5	13855191	13855505	24	15	52	90.7	46.5	73.2
chr5	17597711	17598441	25	65	10	72.6	84.3	69.1
chr5	18873203	18874737	5	14	9	39.1	42.8	80.2
chr5	21338122	21338435	24	7	5	99.5	51.2	51.2
chr5	21651459	21651781	22	6	8	83.5	29.7	53.7
chr5	22796501	22796818	24	5	6	91.4	50.8	40.3
chr5	26600608	26600725	7	7	8	92.8	46.8	32.3
chr5	26796589	26801786	57	8	14	64.8	39.9	85.1
chr5	35191032	35191368	24	22	6	93.0	79.0	90.1
chr5	35614071	35614383	25	9	66	97.7	82.2	98.4
chr5	37293697	37294027	23	18	30	100.0	97.4	99.4
chr5	37295928	37296104	14	67	83	99.6	98.4	97.1
chr5	37415387	37415539	11	33	26	91.6	97.4	94.5
chr5	42980737	42980823	7	136	18	99.5	98.4	96.7
chr5	42981401	42981865	6	111	19	96.9	98.0	51.5
chr5	46405186	46410471	15	19	20	59.3	47.9	62.5
chr5	46811560	46815992	17	18	16	52.1	48.7	36.0
chr5	46818116	46819310	6	21	16	75.8	67.0	48.8
chr5	46820208	46821739	14	14	24	45.0	53.7	57.5
chr5	46824377	46825910	16	16	14	59.7	33.9	60.9
chr5	46826977	46827318	6	25	16	54.9	66.1	48.3
chr5	46861477	46865222	33	20	17	46.3	59.2	60.2
chr5	46876490	46880747	51	18	15	60.8	51.3	63.7
chr5	46895722	46898447	23	20	15	47.7	60.0	52.7
chr5	46922961	46933360	74	23	14	56.6	57.6	71.5
chr5	46939437	46940969	15	16	18	46.7	40.3	51.3
chr5	46952776	46955332	10	17	24	63.7	55.2	59.0
chr5	47118209	47123832	54	15	16	53.5	42.6	37.1
chr5	47121815	47122325	5	20	28	70.0	49.1	56.9
chr5	50136193	50136529	5	26	5	63.0	68.7	54.5
chr5	50938546	50943629	20	6	67	56.9	50.8	98.8
chr5	55696270	55696494	19	53	97	95.8	97.1	97.5
chr5	56014553	56014602	5	38	11	95.9	95.3	62.5
chr5	58027649	58037950	46	15	17	56.3	47.8	62.4
chr5	58481695	58482298	8	9	89	72.7	65.9	89.0
chr5	58563080	58563308	11	18	51	90.4	71.8	88.3
chr5	58563650	58564143	26	43	7	90.5	80.8	61.3
chr5	61997799	61998124	25	13	18	88.7	43.5	81.0
chr5	62278955	62280596	11	14	8	97.2	66.2	19.7
chr5	63324858	63325179	23	5	10	82.7	38.3	50.9
chr5	63408611	63408933	24	2	12	93.8	72.9	98.7
chr5	64990227	64990563	22	14	14	99.7	91.5	99.4
chr5	66050213	66050542	25	12	24	99.5	99.3	95.4
chr5	70488323	70490767	65	60	25	96.3	99.2	95.6
chr5	70508829	70512077	83	62	33	96.9	99.0	96.0
chr5	70510845	70511654	19	52	3	97.2	96.6	63.0
chr5	75786468	75786776	24	6	11	87.7	68.1	62.2
chr5	76139838	76139955	6	16	50	66.9	59.4	93.9
chr5	76172129	76172206	6	129	11	96.3	94.4	99.4
chr5	77752521	77752856	25	24	10	99.5	96.3	93.9
chr5	77766484	77766793	26	9	19	99.5	97.8	98.8
chr5	78278342	78278631	20	7	31	99.8	98.9	35.4
chr5	78981903	78982221	23	5	27	93.0	11.3	89.4
chr5	80261369	80261682	19	20	61	95.4	96.7	87.9
chr5	80301308	80301387	5	80	32	96.5	89.5	77.0
chr5	80582793	80583105	8	31	7	79.5	95.5	91.9
chr5	81455323	81455651	24	31	23	96.3	98.5	88.6
chr5	81886660	81887001	24	19	16	88.8	82.7	70.6
chr5	82860897	82861211	25	17	3	93.1	77.3	16.0
chr5	83610239	83610557	24	8	24	91.3	33.2	85.0
chr5	88616036	88616132	10	62	11	95.2	88.9	72.4
chr5	88736195	88736524	25	16	10	96.7	3.2	88.6
chr5	88747321	88747648	23	13	17	99.8	61.6	75.6
chr5	90564604	90564924	26	9	8	87.6	69.6	63.8
chr5	94580578	94580914	26	15	9	98.3	84.1	75.4
chr5	94773920	94774248	22	12	10	99.6	83.6	67.5
chr5	96574011	96574356	23	18	4	96.8	63.3	74.4
chr5	98065857	98067055	7	11	26	41.4	68.4	64.3
chr5	99504185	99507199	31	20	54	69.4	65.1	62.9
chr5	99522840	99523658	19	18	54	62.7	57.0	75.0
chr5	100065175	100065881	17	36	8	69.7	64.1	74.1
chr5	100272443	100272754	23	21	32	94.8	51.3	59.9
chr5	100390769	100391587	21	55	10	63.3	69.6	98.0
chr5	100587829	100588133	25	8	8	99.5	99.4	59.1
chr5	101309952	101310079	7	13	5	92.8	60.3	80.0
chr5	103694853	103695177	25	12	21	81.1	50.6	67.7
chr5	103726609	103726924	24	16	9	81.2	68.3	28.1
chr5	104518573	104524624	92	8	17	66.3	59.5	65.5
chr5	106901185	106901929	10	13	37	58.6	68.5	73.5
chr5	106902356	106903653	9	18	29	68.3	55.9	75.1
chr5	106903834	106904035	5	16	16	71.7	65.1	86.6
chr5	107709730	107709895	6	14	8	98.9	76.5	56.4
chr5	114123340	114123662	22	11	28	86.5	52.6	79.0
chr5	114989659	114999294	69	10	16	57.6	50.3	70.6
chr5	115420801	115422191	11	7	37	69.5	73.0	85.1
chr5	117092486	117092803	24	22	10	92.6	71.9	65.5
chr5	120977323	120977637	23	7	13	89.5	38.3	53.8
chr5	122240420	122245112	37	11	15	51.1	53.7	91.2
chr5	122938659	122938981	24	11	10	94.1	75.8	57.7
chr5	123236804	123237326	6	16	44	82.3	71.5	67.2
chr5	126844438	126844566	8	57	6	99.4	96.3	42.5
chr5	127606640	127606966	25	14	10	99.6	82.6	90.4
chr5	128071747	128075223	19	15	30	98.2	99.1	68.5
chr5	133799002	133800796	20	20	35	50.1	65.0	70.3
chr5	135779485	135785022	67	24	14	77.5	73.3	87.8
chr5	137686873	137688196	74	7	26	97.1	62.0	60.6
chr5	140842554	140859343	591	73	104	57.6	39.7	93.5
chr5	142075787	142076011	21	67	12	88.6	93.2	85.0
chr5	143555801	143556112	24	11	10	99.0	97.7	77.7
chr5	143801478	143806581	32	14	11	71.6	48.3	65.9
chr5	143974069	143974243	10	16	7	96.9	67.3	50.8
chr5	149021870	149022027	8	3	24	89.2	49.9	99.0
chr5	150366628	150366953	24	20	40	99.9	94.4	86.7
chr5	150823588	150843717	144	11	12	70.0	84.1	48.5
chr5	151410172	151413064	21	16	19	52.6	55.9	98.8
chr5	154425815	154427643	20	19	33	99.0	93.7	92.3
chr5	154744623	154744937	25	24	23	95.7	92.4	71.5
chr5	155884773	155885563	6	13	18	63.8	34.5	70.2
chr5	156048921	156063029	75	11	11	56.6	73.4	99.4
chr5	159165389	159165733	24	11	14	97.3	84.6	45.3
chr5	164939291	164939600	24	4	70	86.3	61.5	86.5
chr5	167859925	167860024	11	131	17	95.7	93.2	54.3
chr5	170702730	170704200	15	21	61	69.8	62.2	84.7
chr5	171403977	171404050	5	49	47	86.2	90.5	89.4
chr5	171404072	171404252	12	56	27	67.6	89.7	66.5
chr5	176062210	176062817	23	127	77	92.2	28.1	56.1
chr5	176530228	176530323	5	70	53	8.9	56.5	79.3
chr5	177396406	177396594	17	23	13	97.7	75.2	62.3
chr5	177772231	177778280	89	8	111	64.9	54.5	33.9
chr5	177781368	177781975	26	25	35	91.6	72.5	69.6
chr5	178018145	178020262	29	16	84	75.1	42.2	89.6
chr5	178095175	178095303	6	41	74	85.4	80.5	87.0
chr5	178095454	178095582	6	53	43	86.2	83.6	82.1
chr5	178095951	178096938	42	72	27	90.7	85.3	78.2
chr5	178294293	178294530	8	28	69	66.7	48.8	73.6
chr5	178394895	178396566	157	29	61	83.5	51.9	70.6
chr5	179313292	179313623	10	46	61	82.3	76.6	69.8
chr5	179313537	179313700	6	51	41	83.6	77.4	83.6
chr5	179637376	179639972	65	55	58	82.3	91.8	90.1
chr5	179653664	179653961	9	42	41	94.5	76.8	99.0
chr5	179871852	179871992	6	45	108	98.2	97.1	99.0
chr5	181088829	181089214	22	35	37	99.3	64.2	65.1
chr5	181090186	181091397	59	96	46	98.9	96.0	74.7
chr5	181090975	181091168	7	113	16	100.0	98.9	55.8
chr5	181312083	181312416	23	16	180	89.8	67.8	98.4
chr5	181449131	181449271	12	56	51	99.2	87.7	82.9
chr5	181450984	181451265	18	187	98	97.9	98.5	95.8
chr6	424480	424669	28	79	166	98.5	91.8	98.6
chr6	519176	519825	83	28	57	98.8	97.3	98.2
chr6	520645	520894	23	200	42	98.4	98.5	98.1
chr6	521024	521073	6	231	22	98.4	98.7	96.6
chr6	676831	677154	11	39	22	96.3	97.0	52.1
chr6	1234864	1235068	10	35	81	49.1	58.2	94.4
chr6	1318799	1319200	16	101	59	94.9	72.4	92.6
chr6	1318872	1319675	36	100	240	96.3	75.6	99.5
chr6	3090792	3091721	103	19	92	99.5	97.2	99.7
chr6	3092642	3093322	79	230	67	99.6	99.5	99.6
chr6	3093148	3093581	43	244	63	99.8	99.4	96.6
chr6	3145508	3145649	6	63	24	97.4	98.3	97.1
chr6	3146427	3146630	8	74	47	99.0	97.1	81.3
chr6	5135062	5135285	15	36	12	94.6	93.5	79.6
chr6	6277107	6277368	16	20	42	93.9	78.3	87.9
chr6	7272051	7272370	7	44	29	85.3	79.3	84.5
chr6	7273126	7273683	12	52	28	92.6	80.6	56.6
chr6	8227690	8228007	25	40	16	94.2	72.8	47.2
chr6	9014583	9014690	5	16	8	87.9	55.8	77.7
chr6	13882318	13883620	12	36	8	68.9	71.6	54.8
chr6	17472038	17472350	23	27	4	73.9	52.6	51.1
chr6	19423371	19423604	15	29	21	95.4	67.7	73.0
chr6	19676085	19677126	29	14	32	83.8	54.0	82.1
chr6	19764875	19770952	86	15	7	71.7	62.6	98.4
chr6	20765135	20765454	24	15	10	99.4	84.3	70.1
chr6	22930321	22930548	8	18	10	78.0	54.7	54.8
chr6	23685759	23686086	23	9	13	86.3	62.1	50.3
chr6	23743031	23745716	20	5	20	53.0	41.4	89.0
chr6	26611010	26617790	122	22	12	36.8	84.3	78.6
chr6	28222417	28222753	24	8	20	98.7	51.0	80.2
chr6	33615420	33618066	45	20	23	85.0	77.4	90.4
chr6	34732176	34732825	7	21	27	73.5	84.5	89.9
chr6	34732882	34733339	5	21	18	88.7	80.3	90.5
chr6	35658655	35661966	36	41	36	96.8	99.0	83.6
chr6	37753711	37754047	9	23	29	75.6	72.1	87.2
chr6	41436322	41436644	23	27	11	94.7	75.5	34.8
chr6	45999721	46000047	23	9	23	91.8	57.9	64.2
chr6	47312405	47312497	6	7	8	90.7	57.8	44.2
chr6	50484753	50485081	23	12	5	92.5	58.5	67.1
chr6	50798243	50798553	26	11	15	88.2	48.8	61.2
chr6	54915508	54915835	24	7	10	91.9	40.2	65.9
chr6	54981583	54986639	32	36	22	69.5	73.3	65.0
chr6	60231682	60231869	11	20	10	84.6	49.3	42.2
chr6	60420123	60424413	33	10	10	55.2	60.6	54.4
chr6	60655130	60660100	27	2	22	49.3	6.5	55.8
chr6	61183398	61183718	23	32	18	86.7	71.8	50.3
chr6	61378007	61378865	6	18	18	70.2	57.9	51.2
chr6	61434383	61437616	19	13	10	56.9	49.7	31.0
chr6	64475259	64475572	23	8	12	93.2	56.9	54.2
chr6	64637143	64640268	12	12	15	47.9	50.0	51.8
chr6	69480793	69482367	11	13	8	49.6	67.9	55.1
chr6	71861725	71862045	22	8	25	86.4	29.3	82.8
chr6	72512238	72513022	21	7	30	94.3	44.2	92.0
chr6	73446429	73446753	26	16	21	99.4	99.6	81.3
chr6	73711530	73711835	24	11	13	99.1	77.4	49.3
chr6	73882344	73892722	70	19	6	69.4	75.3	39.8
chr6	74158700	74159831	7	5	20	86.0	53.9	51.6
chr6	76727505	76749298	190	12	15	65.4	41.6	49.3
chr6	77210382	77210692	20	5	17	88.9	47.5	65.9
chr6	77717202	77725663	118	18	7	66.2	53.6	92.7
chr6	82966355	82966667	25	15	9	99.3	98.2	93.4
chr6	85434580	85434913	24	7	6	90.2	80.3	66.5
chr6	86696473	86708122	41	18	38	47.3	54.3	52.0
chr6	87408455	87408587	20	69	22	0.2	3.8	99.4
chr6	87576043	87576518	23	7	8	99.8	85.4	98.1
chr6	88714433	88714740	24	10	8	99.9	92.1	99.2
chr6	90527856	90528176	25	11	18	97.6	98.9	80.8
chr6	92098276	92098601	22	9	6	89.3	60.4	25.8
chr6	92200934	92201256	23	8	7	79.8	72.2	78.1
chr6	101046724	101048734	12	5	9	88.0	52.1	56.4
chr6	102367247	102367932	5	9	7	59.2	55.8	52.3
chr6	103289575	103315050	189	8	24	65.2	55.4	98.9
chr6	104774076	104774388	23	8	16	99.5	90.9	92.2
chr6	104812951	104815881	15	5	19	86.9	98.0	73.5
chr6	106480957	106481272	24	20	30	91.6	79.2	82.8
chr6	106986184	106987325	26	27	33	77.2	73.7	97.5
chr6	110974007	110974313	21	25	16	99.6	99.1	81.3
chr6	121476297	121476907	9	26	97	85.2	74.7	95.0
chr6	122848892	122848941	5	62	12	82.6	94.8	73.6
chr6	123193913	123194227	23	5	76	81.8	20.8	89.2
chr6	125388868	125389163	25	60	17	95.0	91.7	95.7
chr6	125861898	125866189	31	21	9	93.1	97.3	75.1
chr6	128668671	128669004	24	12	21	90.1	54.4	68.6
chr6	129415925	129416238	23	8	6	89.7	53.5	52.9
chr6	130638249	130638568	22	5	36	90.2	54.2	86.4
chr6	133665398	133665475	6	136	28	97.2	94.6	72.6
chr6	135914477	135914786	24	8	7	92.4	53.2	57.0
chr6	141004570	141004895	23	10	33	82.6	43.4	36.6
chr6	149965177	149965284	16	179	28	1.2	9.5	37.6
chr6	149981522	149981667	10	35	9	65.8	51.5	53.8
chr6	151779805	151779921	9	19	7	97.0	78.1	44.5
chr6	152708836	152712653	45	4	20	78.8	59.2	74.3
chr6	154298855	154300369	14	19	30	92.5	77.4	92.0
chr6	154365393	154365667	19	26	18	99.7	83.3	76.8
chr6	158127234	158128033	28	9	152	90.6	65.6	99.0
chr6	158239061	158239591	46	25	111	98.3	99.0	98.6
chr6	158240057	158240310	21	105	30	98.5	98.7	95.8
chr6	158455044	158455371	23	46	24	99.5	99.0	82.2
chr6	158927695	158928997	11	30	22	80.1	86.4	88.0
chr6	159665225	159667656	24	16	37	86.4	92.8	69.5
chr6	160630066	160635614	109	50	19	68.1	70.7	97.5
chr6	161090607	161090796	10	20	20	99.5	96.7	65.7
chr6	161895466	161895685	6	18	17	66.0	43.1	61.5
chr6	162162737	162165775	38	26	9	64.1	73.5	48.7
chr6	162472472	162472798	20	22	27	79.0	66.2	66.7
chr6	163300910	163301008	6	42	31	85.3	68.6	90.3
chr6	163593898	163594199	21	27	20	95.6	86.6	62.0
chr6	165311177	165318642	115	50	159	60.5	37.1	0.3
chr6	166955329	166955394	9	45	21	0.0	38.3	90.0
chr6	167074584	167076087	12	5	37	84.2	83.9	61.7
chr6	167295547	167295690	16	73	43	85.7	68.8	52.4
chr6	168168575	168168804	8	29	97	40.8	64.9	92.9
chr6	168356827	168357211	19	57	88	84.7	69.3	88.7
chr6	168357383	168357656	14	75	69	95.6	75.7	79.1
chr6	168358004	168358442	22	91	113	96.2	83.7	89.7
chr6	168572186	168572371	16	78	75	97.3	86.8	80.8
chr6	168573049	168573110	5	133	73	98.3	94.1	65.3
chr6	168593211	168594023	33	49	50	63.3	66.4	64.6
chr6	168595044	168595247	6	87	40	35.5	68.0	56.4
chr6	168823056	168823328	20	36	36	88.9	65.5	73.6
chr6	169262992	169263160	9	37	62	86.4	70.5	80.9
chr6	169963840	169963889	8	137	38	99.0	43.9	64.4
chr6	169967250	169967597	23	54	58	86.8	66.1	67.1
chr6	169988453	169988575	8	140	111	95.0	90.8	99.5
chr6	170215618	170215825	5	52	98	98.9	98.4	98.4
chr6	170216869	170217025	10	77	107	99.4	99.3	97.8
chr6	170218808	170219121	17	100	100	98.8	98.6	89.1
chr6	170219854	170219959	5	106	74	99.5	98.0	77.4
chr6	170220119	170220800	36	112	90	97.8	98.4	80.3
chr6	170236876	170237145	16	49	75	88.0	70.7	75.3
chr6	170237058	170237489	25	65	46	89.1	74.9	65.8
chr6	170237529	170237960	30	85	93	87.4	79.9	85.0
chr6	170246311	170246653	27	76	79	93.2	66.3	79.5
chr6	170246852	170247091	15	104	80	98.2	80.5	79.7
chr6	170246942	170247078	6	109	55	97.6	83.6	73.8
chr6	170255827	170255895	5	42	71	66.7	64.6	82.7
chr6	170264916	170265111	6	43	73	92.4	75.8	80.1
chr6	170266765	170267308	44	53	82	93.3	79.6	81.9
chr6	170267028	170267163	10	68	39	92.5	82.5	68.2
chr6	170469766	170469872	6	57	90	87.5	89.9	88.6
